"Table with row headers in column A, and column headers in rows 7 through 10.  Leading dots indicate subparts.",,,,,,,,,,,,,,,,,,,,,,,
"MS-1.  Marital Status of the Population 15 Years Old and Over by Sex, Race and Hispanic Origin:  1950 to Present",,,,,,,,,,,,,,,,,,,,,,,
(Numbers in thousands),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"For more information about ASEC, including the source and accuracy statement, see the technical documentation accessible at: https://www.census.gov/programs-surveys/cps/technical-documentation/complete.html",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Men,,,,,,,,Women,,,,,,,,,,,,,,
,,,,   Unmarried,,,,,,,,   Unmarried,,,,,,,,,,,
,,,,,Never ,,,,,,,,Never ,,,,,,,,,,
Year,Total,Married1,,Total,married,Widowed,Divorced,,Total,Married1,,Total,married,Widowed,Divorced,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
.All races,,,,,,,,,,,,,,,,,,,,,,,
..2006a,"4,849","2,919",,"1,930","1,694",54,182,,"5,331","3,326",,"2,005","1,372",336,297,,,,,,,,
..2006b,"5,172","3,033",,"2,140","1,879",59,202,,"5,660","3,464",,"2,196","1,537",344,315,,,,,,,,
..2005a,"4,717","2,879",,"1,838","1,588",69,181,,"5,156","3,281",,"1,875","1,230",328,317,,,,,,,,
..2005b,"5,005","2,974",,"2,030","1,761",71,198,,"5,461","3,388",,"2,072","1,396",340,336,,,,,,,,
..2004a,"4,605","2,810",,"1,795","1,587",67,141,,"4,972","3,152",,"1,820","1,192",342,286,,,,,,,,
..2004b,"4,874","2,897",,"1,977","1,752",68,157,,"5,247","3,267",,"1,980","1,327",346,307,,,,,,,,
..2003a,"4,416","2,615",,"1,801","1,598",70,133,,"4,893","2,973",,"1,920","1,314",342,264,,,,,,,,
..2003b,"4,685","2,708",,"1,977","1,753",70,154,,"5,114","3,057",,"2,057","1,428",347,282,,,,,,,,
..2002,"4,758","2,647",,"2,110","1,866",72,172,,"5,079","3,054",,"2,025","1,363",346,316,,,,,,,,
..2001,"4,788","2,820",,"1,968","1,738",58,172,,"5,118","3,145",,"1,973","1,334",347,292,,,,,,,,
..2000,"4,036","2,334",,"1,702","1,523",49,130,,"4,374","2,598",,"1,776","1,259",287,230,,,,,,,,
..1999,"3,952","2,238",,"1,714","1,518",53,143,,"4,321","2,546",,"1,775","1,286",238,251,,,,,,,,
..1998,"3,761","2,227",,"1,534","1,322",64,148,,"4,112","2,521",,"1,591","1,151",246,194,,,,,,,,
..1997,"3,693","2,093",,"1,599","1,384",56,159,,"3,870","2,327",,"1,543","1,096",277,170,,,,,,,,
..1996,"3,482","1,939",,"1,543","1,383",44,116,,"3,723","2,176",,"1,547","1,115",274,158,,,,,,,,
..1995,"2,515","1,478",,"1,037",922,30,85,,"2,699","1,695",,"1,004",656,202,146,,,,,,,,
..1994,"2,681","1,638",,"1,043",963,25,55,,"2,987","1,832",,"1,155",768,238,149,,,,,,,,
..1993,"2,798","1,625",,"1,173","1,047",48,78,,"3,072","1,891",,"1,181",832,208,141,,,,,,,,
..1990,"2,357","1,432",,925,826,49,50,,"2,591","1,620",,971,656,208,107,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic,,,,,,,,,,,,,,,,,,,,,,,
..2021,"22,865","10,468",,"12,398","10,646",377,"1,375",,"22,962","11,044",,"11,918","8,816","1,134","1,968",,,,,,,,
..2020,"22,466","10,276",,"12,191","10,328",335,"1,528",,"22,582","10,896",,"11,687","8,610","1,085","1,992",,,,,,,,
..2019,"22,131","10,445",,"11,686","10,021",328,"1,337",,"22,181","10,860",,"11,320","8,272","1,088","1,960",,,,,,,,
..2018,"21,689","10,205",,"11,484","9,808",317,"1,359",,"21,770","10,793",,"10,978","8,020","1,062","1,896",,,,,,,,
..2017,"20,968","10,133",,"10,836","9,172",352,"1,312",,"21,141","10,712",,"10,428","7,629",988,"1,811",,,,,,,,
..2016,"20,727","9,942",,"10,785","9,121",317,"1,347",,"20,757","10,354",,"10,403","7,536","1,018","1,849",,,,,,,,
..2015,"20,190","9,711",,"10,479","8,829",310,"1,340",,"20,170","10,097",,"10,072","7,284","1,000","1,788",,,,,,,,
..2014s,"19,682","9,243",,"10,439","8,880",268,"1,291",,"19,473","9,666",,"9,808","6,995",976,"1,837",,,,,,,,
..2013,"19,178","9,254",,"9,925","8,447",266,"1,212",,"19,029","9,590",,"9,439","6,730",962,"1,747",,,,,,,,
..2012,"18,858","9,092",,"9,766","8,366",253,"1,147",,"18,627","9,349",,"9,278","6,597",972,"1,709",,,,,,,,
..2011r,"18,272","8,874",,"9,398","8,024",287,"1,087",,"18,145","9,138",,"9,008","6,454",962,"1,592",,,,,,,,
..2011,"18,097","8,587",,"9,510","8,118",302,"1,090",,"16,954","8,608",,"8,346","5,909",942,"1,495",,,,,,,,
..2010,"17,673","8,601",,"9,072","7,675",297,"1,100",,"16,599","8,576",,"8,023","5,601",898,"1,524",,,,,,,,
..2009,"17,210","8,720",,"8,490","7,200",203,"1,087",,"16,229","8,726",,"7,503","5,235",861,"1,407",,,,,,,,
..2008,"16,832","8,704",,"8,128","6,955",228,945,,"15,845","8,555",,"7,290","5,066",839,"1,385",,,,,,,,
..2007,"16,430","8,542",,"7,888","6,725",226,937,,"15,444","8,445",,"6,999","4,790",823,"1,386",,,,,,,,
..2006,"15,759","8,389",,"7,370","6,270",195,905,,"14,854","8,206",,"6,647","4,495",812,"1,340",,,,,,,,
..2005,"15,221","7,850",,"7,370","6,262",217,891,,"14,381","7,861",,"6,520","4,406",813,"1,301",,,,,,,,
..2004,"14,639","7,582",,"7,057","6,003",190,864,,"13,878","7,654",,"6,224","4,306",761,"1,157",,,,,,,,
..2003,"14,336","7,592",,"6,744","5,758",183,803,,"13,599","7,670",,"5,929","4,104",735,"1,090",,,,,,,,
..2002,"13,431","6,956",,"6,475","5,621",147,707,,"12,899","7,210",,"5,689","3,936",727,"1,026",,,,,,,,
..2001,"12,920","6,787",,"6,133","5,243",168,722,,"12,396","6,786",,"5,610","3,859",733,"1,018",,,,,,,,
..2000,"11,310","6,234",,"5,076","4,237",170,669,,"11,465","6,492",,"4,973","3,308",711,954,,,,,,,,
..1999,"10,930","6,016",,"4,914","4,129",146,639,,"11,054","6,153",,"4,901","3,318",670,913,,,,,,,,
..1998,"10,931","5,793",,"5,138","4,363",131,644,,"10,483","5,910",,"4,573","3,070",617,886,,,,,,,,
..1997,"10,609","5,551",,"5,058","4,345",146,567,,"10,070","5,573",,"4,497","3,047",575,875,,,,,,,,
..1996,"9,824","5,113",,"4,711","4,002",131,578,,"9,746","5,470",,"4,276","2,881",579,816,,,,,,,,
..1995,"9,529","5,107",,"4,422","3,684",157,581,,"9,429","5,359",,"4,070","2,679",582,809,,,,,,,,
..1994,"9,294","4,852",,"4,441","3,729",172,540,,"9,132","5,140",,"3,992","2,671",582,739,,,,,,,,
..1993,"8,976","4,779",,"4,197","3,556",138,503,,"8,804","4,990",,"3,814","2,567",557,690,,,,,,,,
..1990,"7,160","4,047",,"3,113","2,652",102,359,,"7,309","4,278",,"3,031","2,004",445,582,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Source:  U.S. Census Bureau, Decennial Censuses, 1950 to 1990, and Current Population Survey, March and Annual Social and Economic Supplements, 1993 to 2021.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Note: Details may not sum to total due to rounding. ,,,,,,,,,,,,,,,,,,,,,,,
a   Householder whose race was reported as only one race.,,,,,,,,,,,,,,,,,,,,,,,
b   Householder whose race was reported as only a single race or in combination with one or more other races.,,,,,,,,,,,,,,,,,,,,,,,
r   Revised based on population from the most recent decennial census.,,,,,,,,,,,,,,,,,,,,,,,
"s   The 2014 CPS ASEC included redesigned questions for income and health insurance coverage. All of the approximately 98,000 addresses were selected to receive the improved set of health insurance coverage items. The improved income questions were implemented using a split panel design.  Approximately 68,000 addresses were selected to receive a set of income questions similar to those used in the 2013 CPS ASEC. The remaining 30,000 addresses were selected to receive the redesigned income questions. The source of data for this table is the CPS ASEC sample of 98,000 addresses. ",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
* 1950 and 1960 data are for the population 14 yrs old and over. Nonwhite data is shown for Black for these years.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"1   Includes married spouse present, married spouse absent and separated. Starting in 2019, estimates for married individuals include same-sex married couples.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"2   Before 2003, Asian includes Asians and Pacific Islanders. In 2003 and later Asian includes only Asian alone. ",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
FOR FURTHER INFORMATION contact:,,,,,,,,,,,,,,,,,,,,,,,
Fertility and Family Statistics Branch,,,,,,,,,,,,,,,,,,,,,,,
301-763-2416,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Internet Release Date: November 2021,,,,,,,,,,,,,,,,,,,,,,,
